ticker,date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Preferred Stock Dividends,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Total Revenue,Operating Revenue,Loss Adjustment Expense,Net Policyholder Benefits And Claims,Normalized EBITDA,Reconciled Cost Of Revenue,EBITDA,Total Operating Income As Reported,Other Non Operating Income Expenses,Operating Income,Operating Expense,Depreciation Amortization Depletion Income Statement,Amortization Of Intangibles Income Statement,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Minority Interests,Write Off,Gain On Sale Of Security,General And Administrative Expense,Other Gand A,Interest Income,Otherunder Preferred Stock Dividend,Net Income Discontinuous Operations,Gain On Sale Of Business,Impairment Of Capital Assets,Earnings From Equity Interest,Interest Income Non Operating,Selling And Marketing Expense,Rent Expense Supplemental,Gain On Sale Of Ppe,Other Special Charges,Total Other Finance Cost,Other Taxes,Earnings From Equity Interest Net Of Tax,Depreciation Income Statement,Salaries And Wages,Excise Taxes,Average Dilution Earnings,Insurance And Claims,Rent And Landing Fees,Occupancy And Equipment,Professional Expense And Contract Services Expense,Other Non Interest Expense,Provision For Doubtful Accounts,Securities Amortization,Policyholder Benefits Gross,Net Income From Tax Loss Carryforward,Depletion Income Statement,Net Income Extraordinary,Policyholder Benefits Ceded
CEG,2024-06-30,8946058.091286,0.159751,56000000.0,56000000.0,814000000.0,513000000.0,1106000000.0,-142000000.0,142000000.0,766946058.091286,814000000.0,4438000000.0,316000000.0,315000000.0,2.58,2.58,814000000.0,814000000.0,,814000000.0,809000000.0,809000000.0,154000000.0,964000000.0,69000000.0,0.0,,-142000000.0,142000000.0,63000000.0,296000000.0,,5475000000.0,5475000000.0,,,1563000000.0,3720000000.0,1619000000.0,1100000000.0,13000000.0,1037000000.0,501000000.0,296000000.0,,,4000000.0,1538000000.0,3937000000.0,5000000.0,,56000000.0,4000000.0,,,,,,,,,,,0.0,,,142000000.0,-1000000.0,,4000000.0,,,,,,,,,,,,,,
CEG,2024-03-31,8946058.091286,0.159751,56000000.0,56000000.0,814000000.0,513000000.0,1106000000.0,-142000000.0,142000000.0,766946058.091286,814000000.0,4438000000.0,316000000.0,315000000.0,2.58,2.58,814000000.0,814000000.0,,814000000.0,809000000.0,809000000.0,154000000.0,964000000.0,69000000.0,0.0,,-142000000.0,142000000.0,63000000.0,296000000.0,,5475000000.0,5475000000.0,,,1563000000.0,3720000000.0,1619000000.0,1100000000.0,13000000.0,1037000000.0,501000000.0,296000000.0,,,2000000.0,1538000000.0,3937000000.0,5000000.0,,56000000.0,2000000.0,,,,,,,,,,,0.0,,,142000000.0,0.0,,2000000.0,,,,,,,,,,,,,,
CEG,2023-12-31,8946058.091286,0.159751,56000000.0,56000000.0,814000000.0,513000000.0,1106000000.0,-142000000.0,142000000.0,766946058.091286,814000000.0,4438000000.0,316000000.0,315000000.0,2.58,2.58,814000000.0,814000000.0,,814000000.0,809000000.0,809000000.0,154000000.0,964000000.0,69000000.0,-1000000.0,,-142000000.0,142000000.0,63000000.0,296000000.0,,5475000000.0,5475000000.0,,,1563000000.0,3720000000.0,1619000000.0,1100000000.0,13000000.0,1037000000.0,501000000.0,296000000.0,,,-13000000.0,1538000000.0,3937000000.0,5000000.0,,56000000.0,-13000000.0,,,,,,,,,,,-1000000.0,,,142000000.0,0.0,,-13000000.0,,,,,,,,,,,,,,
TGT,2025-04-30,0.0,0.25,,,1036000000.0,787000000.0,1498000000.0,-116000000.0,116000000.0,1036000000.0,1036000000.0,22374000000.0,456500000.0,455000000.0,2.27,2.28,1036000000.0,1036000000.0,,1036000000.0,1036000000.0,1036000000.0,346000000.0,1382000000.0,26000000.0,,,-116000000.0,116000000.0,,655000000.0,,23846000000.0,23846000000.0,,,2285000000.0,16996000000.0,2285000000.0,1472000000.0,26000000.0,1472000000.0,5246000000.0,655000000.0,,,4591000000.0,6718000000.0,17128000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGT,2025-01-31,0.0,0.215505,,,1103000000.0,766000000.0,1496000000.0,-90000000.0,90000000.0,1103000000.0,1103000000.0,29448000000.0,458400000.0,456800000.0,2.41,2.42,1103000000.0,1103000000.0,,1103000000.0,1103000000.0,1103000000.0,303000000.0,1406000000.0,29000000.0,,,-90000000.0,90000000.0,,646000000.0,,30915000000.0,32174000000.0,,,2262000000.0,22759000000.0,2262000000.0,1467000000.0,29000000.0,1467000000.0,6569000000.0,646000000.0,,,5923000000.0,8036000000.0,22879000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGT,2024-10-31,0.0,0.217,,,854000000.0,754000000.0,1196000000.0,-105000000.0,105000000.0,854000000.0,854000000.0,24500000000.0,461500000.0,460100000.0,1.85,1.86,854000000.0,854000000.0,,854000000.0,854000000.0,854000000.0,237000000.0,1091000000.0,28000000.0,,,-105000000.0,105000000.0,,639000000.0,,25668000000.0,25228000000.0,,,1950000000.0,18260000000.0,1950000000.0,1168000000.0,28000000.0,1168000000.0,6125000000.0,639000000.0,,,5486000000.0,7293000000.0,18375000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGT,2024-07-31,0.0,0.229,,,1192000000.0,743000000.0,1655000000.0,-110000000.0,110000000.0,1192000000.0,1192000000.0,23817000000.0,463500000.0,462500000.0,2.57,2.58,1192000000.0,1192000000.0,,1192000000.0,1192000000.0,1192000000.0,353000000.0,1545000000.0,20000000.0,,,-110000000.0,110000000.0,,626000000.0,,25452000000.0,25021000000.0,,,2398000000.0,17682000000.0,2398000000.0,1635000000.0,20000000.0,1635000000.0,6018000000.0,626000000.0,,,5392000000.0,7653000000.0,17799000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGT,2024-04-30,0.0,0.227,,,942000000.0,718000000.0,1325000000.0,-106000000.0,106000000.0,942000000.0,942000000.0,23235000000.0,463900000.0,462200000.0,2.03,2.04,942000000.0,942000000.0,,942000000.0,942000000.0,942000000.0,277000000.0,1219000000.0,29000000.0,,,-106000000.0,106000000.0,,618000000.0,,24531000000.0,24143000000.0,,,2043000000.0,17349000000.0,2043000000.0,1296000000.0,29000000.0,1296000000.0,5786000000.0,618000000.0,,,5168000000.0,7082000000.0,17449000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMI,2025-06-30,8243265.306122,0.242449,34000000.0,34000000.0,890000000.0,279000000.0,1312000000.0,-35000000.0,87000000.0,864243265.306122,890000000.0,7535000000.0,138500000.0,137800000.0,6.43,6.46,890000000.0,890000000.0,,890000000.0,928000000.0,928000000.0,297000000.0,1225000000.0,152000000.0,11000000.0,,-35000000.0,87000000.0,4000000.0,33000000.0,33000000.0,8643000000.0,8643000000.0,,,1557000000.0,6116000000.0,1591000000.0,1226000000.0,22000000.0,1108000000.0,1173000000.0,33000000.0,33000000.0,357000000.0,779000000.0,2281000000.0,6362000000.0,-38000000.0,,23000000.0,,,52000000.0,,,0.0,,96000000.0,52000000.0,,,,-11000000.0,,,,,,,,,,,,,,,,,,,
CMI,2025-03-31,2151000.0,0.239,9000000.0,9000000.0,824000000.0,269000000.0,1194000000.0,-17000000.0,77000000.0,817151000.0,824000000.0,7154000000.0,138300000.0,137600000.0,5.96,5.99,824000000.0,824000000.0,,824000000.0,850000000.0,850000000.0,267000000.0,1117000000.0,114000000.0,10000000.0,,-17000000.0,77000000.0,5000000.0,32000000.0,32000000.0,8174000000.0,8174000000.0,,,1454000000.0,5782000000.0,1463000000.0,1134000000.0,8000000.0,1020000000.0,1135000000.0,32000000.0,32000000.0,344000000.0,754000000.0,2155000000.0,6019000000.0,-26000000.0,,-1000000.0,754000000.0,771000000.0,60000000.0,,,0.0,,97000000.0,60000000.0,,,,-10000000.0,,,,,-17000000.0,,,,,,,,,,,,,,
